missionID,doomName,doomName_en,DoomIcon_path,missionTheme,missionTitle_en,missionName,missionDescription,missionObjective,missionDifficulty,missionGimmick,missionGimmick_desc,enemyTotalCount,enemyList_ID,missionType
10,영혼 수확,Soul Harvest,res_icon_dooms/icon_doom_SoulHarvest,영혼 단지 파괴,Destruction of Soul Jars,생명의 갈증,작전 배경: 버민킨 사술사들이 드워프들의 생명력을 빨아들여 저장하는 '영혼 단지'를 배치했습니다. 이 단지들이 가득 차면 적들은 불사신이나 다름없게 됩니다. 단지들이 에너지를 모두 방출하기 전에 찾아내어 박살 내십시오.,적의 회복 수단인 마법 단지들 전멸,보통,영혼의 갈취,전장 효과: 모든 아군 유닛 회복 효율 -30% (포션  스킬 포함).  갈취: 4턴마다 무작위 아군 유닛 1명의 현재 HP 15%를 빼앗아  가장 체력이 낮은 적 유닛을 회복시킴.,4,100/100/114/115,Destroy
11,영혼 수확,Soul Harvest,res_icon_dooms/icon_doom_SoulHarvest,영혼 단지 파괴,Destruction of Soul Jars,망령의 요새,작전 배경: 버민킨 사술사들이 드워프들의 생명력을 빨아들여 저장하는 '영혼 단지'를 배치했습니다. 이 단지들이 가득 차면 적들은 불사신이나 다름없게 됩니다. 단지들이 에너지를 모두 방출하기 전에 찾아내어 박살 내십시오.,적의 회복 수단인 마법 단지들 전멸,어려움,영혼의 갈취,전장 효과: 모든 아군 유닛 회복 효율 -30% (포션  스킬 포함).  갈취: 4턴마다 무작위 아군 유닛 1명의 현재 HP 15%를 빼앗아  가장 체력이 낮은 적 유닛을 회복시킴.,5,114/114/115/116/116,Destroy
12,재앙의 톱니바퀴,Gears of Calamity,res_icon_dooms/icon_doom_GearsofCalamity,강철 파쇄기 파괴,Destruction of the Iron Shredder,고철 덩어리,버민킨 기계 공학의 결정체인 '강철 파쇄기'가 가동되었습니다. 이 거대 병기는 전면의 모든 것을 갈아버리며 진격하고 있습니다. 파쇄기의 동력실을 타격하여 멈추지 않는 톱날을 박살 내고 기계 요새의 숨통을 끊으십시오.,아군 장비를 부수려는 대형 로봇 파괴,쉬움,[특수 보스 기믹: 분쇄 작업],분쇄: 보스는 매 턴 종료 시 정면 3칸 내 모든 아군에게 현재 DEF의 30%를 즉시 파괴하고 피해를 입힙니다.  장갑 파편: 보스를 타격할 때마다 주변 1칸에 파편이 튀어 아군에게 HP -5% 반사 피해를 입힙니다.,7,100/100/100/100/101/101/121,Detonation
13,재앙의 톱니바퀴,Gears of Calamity,res_icon_dooms/icon_doom_GearsofCalamity,강철 파쇄기 파괴,Destruction of the Iron Shredder,강철의 포식자,버민킨 기계 공학의 결정체인 '강철 파쇄기'가 가동되었습니다. 이 거대 병기는 전면의 모든 것을 갈아버리며 진격하고 있습니다. 파쇄기의 동력실을 타격하여 멈추지 않는 톱날을 박살 내고 기계 요새의 숨통을 끊으십시오.,아군 장비를 부수려는 대형 로봇 파괴,보통,[특수 보스 기믹: 분쇄 작업],분쇄: 보스는 매 턴 종료 시 정면 3칸 내 모든 아군에게 현재 DEF의 30%를 즉시 파괴하고 피해를 입힙니다.  장갑 파편: 보스를 타격할 때마다 주변 1칸에 파편이 튀어 아군에게 HP -5% 반사 피해를 입힙니다.,11,102/102/102/102/102/102/118/118/119/119/119,Detonation
14,재앙의 톱니바퀴,Gears of Calamity,res_icon_dooms/icon_doom_GearsofCalamity,강철 파쇄기 파괴,Destruction of the Iron Shredder,재앙의 분쇄기,버민킨 기계 공학의 결정체인 '강철 파쇄기'가 가동되었습니다. 이 거대 병기는 전면의 모든 것을 갈아버리며 진격하고 있습니다. 파쇄기의 동력실을 타격하여 멈추지 않는 톱날을 박살 내고 기계 요새의 숨통을 끊으십시오.,아군 장비를 부수려는 대형 로봇 파괴,어려움,[특수 보스 기믹: 분쇄 작업],분쇄: 보스는 매 턴 종료 시 정면 3칸 내 모든 아군에게 현재 DEF의 30%를 즉시 파괴하고 피해를 입힙니다.  장갑 파편: 보스를 타격할 때마다 주변 1칸에 파편이 튀어 아군에게 HP -5% 반사 피해를 입힙니다.,17,104/104/104/104/104/104/104/118/118/118/118/119/119/119/119/120/120,Detonation
15,10일차: 버민킨 대공세,Verminkin Great Assault,res_icon_dooms/icon_doom_GearsofCalamity,외성벽 결사 사수,The Bastion's First Stand,외성벽 결사 사수,10일간의 국지전을 견뎌낸 우리 군단 앞에 버민킨 본대의 선발대가 모습을 드러냈습니다. 수천 마리의 쥐들이 성벽을 타고 오르려 합니다. 성문이 뚫리면 도성 안의 백성들이 위험합니다. 드워프의 자부심  강철 성벽을 사수하십시오!,[승리 및 패배 조건] 승리 조건: 12턴 종료 시까지 성문 내구도 1% 이상 유지 및 성벽 위 잔존 적 3마리 이하. 패배 조건: 성문 내구도 0% 도달 또는 아군 전멸.,보통,[미션 고유 기믹: 성벽 수성전],지형 보너스: 성벽 위(고지대) 아군은 사거리 +1  명중률 +10%  받는 물리 피해 -15% 보너스를 받습니다. 공성 사다리: 매 2턴마다 성벽 아래 3개 지점 중 무작위로 사다리가 설치됩니다. 사다리가 설치된 칸에 적이 도달하면 다음 턴에 즉시 성벽 위로 난입합니다. 성문 내구도 (Gate HP): 100%  성벽 아래 '공성병'이 성문에 인접하면 매 턴 10%씩 감소합니다. 0%가 되면 즉시 게임 오버입니다.,22,100/100/100/100/100/100/100/100/100/100/100/100/101/101/101/101/101/101/102/102/102/102,Elimination
16,20일차: 지하 침투로 봉쇄,Verminkin Great Assault,res_icon_dooms/icon_doom_GearsofCalamity,지하 침투로 봉쇄,Sealing the Subterranean Breach,지하 침투로 봉쇄,작전 배경: 성벽 수비에 집중하는 사이  영악한 버민킨 공병들이 성바닥 아래로 거대한 땅굴을 팠습니다. 성 내부 창고와 민가 바닥에서 적들이 쏟아져 나오기 시작했습니다. 더 많은 병력이 유입되기 전에 침투로를 무너뜨리고 내부를 정화하십시오!,[승리 및 패배 조건] 승리 조건: 맵 상의 모든 '땅굴 입구(3개)' 파괴 및 성내 잔존 적 전멸. 패배 조건: 성내 치안 수치 0% 도달 (적의 특정 지점 도달 허용) 또는 아군 전멸.,보통,[미션 고유 기믹: 땅굴 입구 (Tunnel Entrance)],무한 증원: 맵 곳곳에 3개의 '땅굴 입구' 오브젝트가 존재합니다. 매 2턴마다 각 입구에서 버민킨 유닛이 1~2마리씩 생성됩니다. 입구 파괴: 땅굴 입구는 [오브젝트] 판정을 받으며  일정 데미지(HP)를 입히면 파괴됩니다. 파괴된 입구에서는 더 이상 적이 나오지 않습니다. 성내 오염: 적 유닛이 성내 특정 구역(민간인 대피소 방향)에 도달하면 '치안 수치'가 감소하며  0이 되면 패배합니다.,15,100/100/100/100/100/100/100/100/118/118/119/119/122/122/122,Elimination
17,30일차: 무기고 탈환 및 방어,Verminkin Great Assault,res_icon_dooms/icon_doom_GearsofCalamity,무기고 탈환전,Armory Reclamation & Defense,무기고 탈환전,작전 배경: 버민킨의 정예 기계 부대가 아군의 핵심 무기고를 점령했습니다. 보급로가 차단되어 전방의 드워프 군단이 무기 수리조차 못 하고 있습니다. 무너진 장갑을 이끌고 무기고를 급습하여 제어권을 되찾고  적의 탈환 시도를 분쇄하십시오!,[승리 및 패배 조건] 승리 조건: 무기고 제어실 점령 후 15턴 종료 시까지 거점 유지 및 화약고 사수. 패배 조건: 화약고 파괴(폭탄쥐 도달) 또는 아군 전멸.,보통,[미션 고유 기믹: 무기 보급 중단],장비 약화 (Global Debuff): 미션 시작 시 모든 아군 유닛은 ATK -15%  DEF -15% 페널티를 안고 시작합니다. (무기고 점령 시 해제)  거점 점령: 맵 중앙의 '무기고 제어실' 타일을 3턴간 점령하면 아군의 페널티가 해제되고  아군 유닛 전체에 [공격력 +20%] 버프가 부여됩니다. 폭발 위험: 적군 [과부하 폭탄쥐]가 무기고 내부의 화약고에 도달하면 무기고가 파괴되며 즉시 패배합니다.,15,101/101/101/101/101/101/101/101/115/115/115/118/118/118/118,Elimination
18,40일차: 중앙 광장 최후 항전,Verminkin Great Assault,res_icon_dooms/icon_doom_GearsofCalamity,중앙 광장 최후 항전,Last Stand at the Great Plaza,중앙 광장 최후 항전,작전 배경: 성문은 부서졌고 지하는 함락되었습니다. 버민킨의 대군이 왕국의 심장부인 중앙 광장으로 밀려듭니다. 대피하지 못한 백성들이 광장에 고립되었습니다. 저들이 무사히 지하 방공호로 대피할 때까지  단 한 걸음도 물러서지 말고 광장을 사수하십시오!,승리 조건: 민간인 전원 대피 완료(약 15턴 소요) 및 광장 내 잔존 적 소탕. 패배 조건: 민간인 사망자 5명 이상 발생 또는 아군 전멸.,어려움,[미션 고유 기믹: 민간인 호위 및 사면 포위],대피 진행: 매 턴 종료 시 광장에 남은 '민간인 유닛'들이 대피소 입구로 이동합니다. (전원 대피 시 승리 조건 달성 가속)  사면 진격: 적군은 맵의 상/하/좌/우 4방향에서 동시에 등장합니다. 진형이 붕괴되면 민간인들이 학살당합니다. 공포의 가스: 5턴부터 적 [가스탄 투척병]이 광장 중앙에 산성 가스를 살포하여 아군의 DEF를 매 턴 5%씩 영구 감소시킵니다.,32,100/100/100/100/100/100/100/100/100/100/100/100/100/100/100/100/102/102/102/102/102/102/102/102/114/114/114/114/125/125/125/125,Elimination
19,50일차: 왕의 관문,Verminkin Great Assault,res_icon_dooms/icon_doom_GearsofCalamity,왕의 관문: 최종전,The King's Gate: The Final Stand,왕의 관문: 최종전,작전 배경: 버민킨의 황제  '버민 엠퍼러'가 직접 거대 공성 병기 [파편의 군주]를 이끌고 왕국의 심장부인 왕의 관문 앞에 섰습니다. 이 문이 무너지면 드워프의 역사는 끝납니다. 50일간의 수련을 마친 용사들이여  드워프의 자부심을 걸고 최후의 적을 처단하십시오!,승리 조건: 최종 보스 [버민 엠퍼러] 처단 (성문 내구도 1% 이상 유지 필수). 패배 조건: 성문 내구도 0% 도달 또는 아군 전원 전멸.,어려움,[미션 고유 기믹: 최종 결전],성문 내구도 (Gate HP): 100%  거대 공성 병기가 3턴마다 '공성 포격'을 가해 성문 내구도를 20%씩 깎습니다. 황제의 위엄: 보스 [버민 엠퍼러]가 전장에 존재하는 동안 모든 적 유닛은 ATK +15%  상태이상 면역 효과를 받습니다. 불멸의 영혼: 전장에 있는 모든 적은 사망 시 20% 확률로 부활합니다 (영혼 수확 테마의 강화형).,15,114/114/114/114/115/115/115/115/116/116/118/118/118/118/123,Elimination
